KWIS 	Know What I'm Saying?
AMT 	Alpha-Methyltryptamine
AMV 	Anime Music Video
AMW 	America's Most Wanted (TV show)
AN 	Author's Note
ANC 	African National Congress
ANFAWFOS 	And Now For A Word From Our Sponsor
ANFSCD 	And Now For Something Completely Different
ANSI 	American National Standards Institute
ANTM 	America's Next Top Model
ANZAC 	Australian and New Zealand Army Corps
AO 	Adults Only
AOB 	Any Other Business
AOD 	All Of Day
AOE 	Area Of Effect
AOK 	All OK
AOM 	Age of Mythology (game)
AON 	As Of Now
AOS 	Ahead Of Schedule
AOT 	As Opposed To Among Other Things
AOTA 	All Of The Above
AOTS 	Attack of the Show (TV show)
ARPA 	Advanced Research Projects Agency (made early internet)
ARPANET 	Advanced Research Projects Agency Network (early internet)
ARPU 	Average Revenue Per User
ASAIC 	As Soon As I Can
BB 	Be Back
BB4N 	Bye-Bye For Now
BBAM 	Be Back After Meal
BBB 	Bugging Beyond Belief
BBC 	British Broadcasting Corporation
BBEG 	Big Bad Evil Guy
BBFL 	Best Buds For Life
BBFN 	Bye Bye For Now
BBG 	Best Be Going
BBIAB 	Be Back In A Bit
BBIAF 	Be Back In A Few
BBIAM 	Be Back In A Minute
UV 	Unpleasant Visual
UW 	You're Welcome
UWS 	Upper West Side (of Manhattan)
UE 	User Experience
UY 	Up Yours
VA 	Various Artists
VBD 	Very Big Deal
VBG 	Very Big Grin
VBL 	Visible Bra Line
VBR 	Variable Bit Rate
VBS 	Very Big Smile
VC 	Voice Chat
VCARD 	Virtual (online) business card
VCD 	Video Compact Disc
VCR 	Video Cassette Recorder
VDU 	Visual Display Unit
VFM 	Value For Money
VG 	Video Game Very Good
VGA 	Video Graphics Array/Adaptor
VGC 	Very Good Condition
VGG 	Very Good Game
VGL 	Very Good Looking
BBIAS 	Be Back In A Sec
BBIAW 	Be Back In A While
BBK 	Boy Better Know
BBL 	Be Back Later
BBM 	Blackberry Messaging
BBML 	Be Back Much Later
BBN 	Be Back Never
BBO 	Being Bored Online
BBQ 	Barbecue Better Be Quick
BBR 	Blonde, Brunette, Redhead
BBS 	Be Back Soon
BBT 	Be Back Tomorrow
BBV 	Brags Beats and Variance
ASAIK 	As Soon As I Know
ASAP 	As Soon As Possible
ASAS 	As Soon As Sensible
ASAT 	As Simple As That
ASAYC 	As Soon As You Can
ASBO 	Anti Social Behaviour Order
ASCII 	American Standard Code for Information Interchange
ASPCA 	American Society for the Prevention of Cruelty to Animals
ATT 	American Telephone & Telegraph
ATA 	Ait To Air Actual Time of Arrival
ATAP 	Any Time, Any Place
ATB 	All The Best
ATC 	Air Traffic Control
ATD 	Attention to Detail
BCBW 	Bow Chica Bow Wow
BCC 	Blind Carbon Copy
BCD 	Behind Closed Doors
BCE 	Before Common Era
BCF 	Best Cousin Forever
BCG 	Birth Control Glasses
BCS 	Bowl Championship Series
BD 	Big Deal
BDN 	Busy Doing Nothing
BDOML 	Best Day Of My Life
BDU 	Brain Dead User Battle Dress Uniform
BFA 	Best Friends Always
BFAB 	Born From A Boombox Back For A Bit
BFAM 	Brother From Another Mother
BFB 	Better From Behind
BFF 	Best Friends Forever
BFFAE 	Best Friends Forever And Ever Best Friends For All Eternity
BFFL 	Best Friend For Life
BFFLE 	Best Friends For Like Ever
BFFLTDDUP 	Best Friends For Life Till Death Do Us Part
BFFN 	Best Friend For Now
BFFWB 	Best Friend Forever With Benefits
BFITW 	Best Friend In The World
BFK 	Big Fat Kiss
BFMV 	Bullet For My Valentine (band)
BFN 	Bye For Now
BFP 	Big Fat Positive
BFTP 	Blast From The Past
BFUT 	Best Friends Until Tomorrow
BFWB 	Best Friend With Benefits
BG 	Baby Gangster
BGF 	Best Girl Friend
BGM 	Background Music
BGT 	Britain's Got Talent (TV show)
BH 	Be Happy
BHD 	Bad Hair Day
BHH 	Bless His/Her Heart
BHL8 	Be Home Late
BHM 	Big Handsome Man
BHS 	Be Home Soon
BIAB 	Back In A Bit
BIC 	Believe It Comrade
BICBW 	But I Could Be Wrong
BIEH 	Best I Ever Had
BIFFL 	Best Internet Friend For Life
BING 	But It's Not Google
BM 	Bowel Movement
BM4L 	Best Mates For Life
BMAK 	Blow Me A Kiss
BMB 	Bebo Me Back
BMBO 	Blow My Brains Out
BME 	Body Modification Ezine
BMFE 	Best Mates Forever
BMFL 	Best Mates For Life
BMG 	Be My Guest
BMI 	Body Mass Index
BML 	Bless My Life
BMOC 	Big Man On Campus
BMS 	Bitchy Men Syndrome
BMT 	Before My Time Basic Military Training
BMTH 	Bring Me The Horizon (Band)
BMTTVE 	Best Mates 'Til The Very End
BMUS 	Beam me up, Scotty
BMV 	Be My Valentine
BMW 	Bavarian Motor Works (car manufacturer)
BMX 	Bicycle Motocross
BNB 	Bed and Breakfast
BNF 	Big Name Fan
BNI 	Batteries Not Included
BNIB 	Brand New In Box
BNOC 	Big Name On Campus
BNP 	British National Party
BNR 	But Not Really
BNWOT 	Brand New Without Tags
BNWT 	Brand New With Tags
BO 	Body Odour
BOAT 	Bust Out Another Thousand
BOBFOC 	Body Off Baywatch, Face Off Crimewatch
BOED 	Book of Exalted Deeds
BOGO 	Buy One Get One
BOGOF 	Buy One Get One Free
BOGSAT 	Bunch Of Guys Sitting Around Talking
CC 	Carbon Copy
CCC 	Coricidin Cough & Cold (Dextromethorophan or DXM).
CCG 	Collectible Card Game
CCIE 	Cisco Certified Internetwork Expert
CCL 	Couldn't Care Less
CCNA 	Cisco Certified Network Associate
CCR 	Creedence Clearwater Revival (band)
CCTV 	Closed-Circuit Television
CCW 	Counterclockwise
CD 	Compact Disc
CDC 	Cult of the Dead Cow Crudely Drawn Cock
CDMA 	Code Division Multiple Access (voice/data transmission)
CDRW 	Compact Disk Rewritable
CLWY 	Can't Live Without You
CM 	Call Me
CMAR 	Cry Me A River
CMB 	Call Me Back
CME 	Close My Eyes
CMEO 	Crying My Eyes Out
CMH 	Cross My Heart
CMHO 	Cry My Heart Out
CMI 	Count Me In
CMIIW 	Correct Me If I'm wrong.
CMIYC 	Catch Me If You Can
CML 	Call Me Later
CMN 	Call Me Now
CMOS 	Complementary Metal-Oxide Semiconductor
CMS 	Content Management System
CMU 	Cracks Me Up
CMYK 	Cyan, Magenta, Yellow, blacK
CNN 	Cable News Network
CNY 	Chinese New Year
CO 	Commanding Officer
COA 	Certificate Of Authenticity
COD 	Cash On Delivery  Call Of Duty
COL 	Crying Out Loud
CRB 	Criminal Records Bureau (UK)
CRBT 	Crying Real Big Tears
CWTSY 	Can't Wait To See You
CWYL 	Chat With You Later.
CYB 	Count Your Blessings
CYBI 	Can You Believe It?
CYDI 	Can You Dig It?
CYDM 	Check Your Direct Messages
CYE 	Check Your Email
CYF 	Cross Your Fingers
CYL 	Catch You Later
CYM 	Check Your Mail
DLN 	Don't Look Now
DLS 	Dirty Little Secret
DLTBBB 	Don't Let The Bed Bugs Bite
DLTBGYD 	Don't Let The Bastards Grind You Down
DLTM 	Don't Lie To Me
DLV 	Demonstration of Lower Value
DM 	Direct Message
DMAF 	Don't Make A Fuss
DMAL 	Drop Me A Line
DMB 	Dave Matthews Band
DMC 	Deep Meaningful Conversation
DMCA 	Digital Millennium Copyright Act
DMI 	Don't Mention It
DMIID 	Don't Mind If I Do
DMM 	Don't Mind Me
DMML 	Don't Make Me Laugh
DMS 	Dirty Money Syndicate
DMT 	Di-Methyl Tryptamine (drug)
DMTA 	Dirty Minds Think Alike
DMV 	Department of Motor Vehicles
DMW 	Dead Man Walking
DMX 	Dark Man X (rapper)
DMY 	Don't Mess Yourself
DMZ 	De-militarized zone
DN 	Doing Nothing
DNA 	Deoxyribonucleic Acid Did Not Attend Does Not Apply
DNC 	Democratic National Committee
DND 	Do Not Disturb
DNDC 	Don't Know, Don't Care
DNE 	Do Not Erase Does Not Exist
DNF 	Did Not Finish
DNFTT 	Do Not Feed The Troll
DNK 	Do Not Know
DNM 	Deep and Meaningful
DNP 	Do Not Post
DNR 	Do Not Resuscitate
DNS 	Domain Name Service Did Not Start
DNTK 	Don't Need To Know
DNW 	Do Not Want
DOA 	Dead On Arrival
DOB 	Date Of Birth
DOC 	Doctor Drug of Choice
DOD 	Day of Defeat
DOE 	Depends On Experience
DOF 	Depth of Field
DOFL 	Dying On Floor Laughing
DRT 	Dead Right There
DS 	Darling Son
DSD 	Do Some Damage
DSL 	Digital Subscriber Line
DSLR 	Digital Single Lens Reflex (camera)
DSP 	Digital Signal Processing
DSS 	Department of Social Services
DST 	Daylight Saving Time
DT 	Down Town
DTA 	Don't Trust Anyone
DTAM 	Death To All Men
DTB 	Don't Text Back
DTC 	Down To Cuddle
DTD 	Drunk Till Dawn Drunk Till Death
DTE 	Down To Earth
DTH 	Down To Hang
DTL 	Does The Look
DTM 	Doing Too Much Dead To Me
DTMS 	Does That Make Sense?
DTMWTD 	Don't Tell Me What To Do
DTP 	Disturbing The Peace
DTR 	Define The Relationship
DTRT 	Do The Right Thing
DTS 	Down The Shore Down To Snuggle
DTT 	Don't Touch That
DTTC 	Don't Text The Cell
DTTM 	Don't Talk To Me
DTYT 	Don't Take Your Time
EBM 	Electronic Body Music
EBT 	Electronic Benefits Transfer
ELOL 	Evil Laugh Out Loud
EOB 	End Of Business
EOC 	End Of Conversion
EOD 	End Of Discussion
EOE 	Equal Opportunity Employer
EOF 	End Of File
EOG 	End Of Grade
EOL 	End Of Lecture
EOM 	End Of Message
EOR 	End Of Rant
EOS 	End Of Show
EOT 	End Of Thread (i.e. end of discussion)
EOTD 	End Of The Day
EOTW 	End Of The World
EOTWAWKI 	End Of The World As We Know It
EOW 	End Of Watch
EPOS 	Electronic Point Of Sale
EPROM 	Electronically Programmable ROM
ERP 	Erotic Role-Play
ESA 	European Space Agency
ESB 	Empire Stikes Back (Star Wars)
ESD 	Electro-Static Discharge
ESL 	English as Second Language
ESOL 	English for Speakers of Other Languages
ESP 	Extra Sensory Perception
ESPN 	Entertainment and Sports Programming Network
ESRB 	Entertainment Software Rating Board
EST 	Eastern Standard Time Established
ESTD 	Easier Said Than Done
ET 	Extra Terrestrial
ETA 	Estimated Time of Arrival Edited to Add
ETC 	Et Cetera (and so on)
ETD 	Estimated Time of Departure
ETF 	Escape The Fate (band)
ETID 	EveryTime I Die (band)
ETW 	Enjoy The Weekend
EU 	European Union
EUA 	End User Agreement
EUC 	Excellent Used Condition
EULA 	End User License Agreement
EV 	Expected Value
FYA 	For Your Amusement
FYC 	For Your Convenience For Your Consideration
FYE 	For Your Entertainment
FYEO 	For Your Eyes Only
FYI 	For Your Information
FYK 	For Your Knowledge
FYM 	Free Your Mind
FYP 	Fixed Your Post
FYR 	For Your Review For Your Records
FYT 	For Your Time
GOAT 	Greatest Of All Time
GA 	Go Ahead
GAC 	Guilty As Charged Get A Clue
GAFIA 	Get Away From It All
GAFM 	Get Away From Me
GB 	Great Britain Gigabyte
GBA 	God Bless America
GBFN 	Goodbye for Now
GBH 	Grievous Bodily Harm
GBML 	Good Bye My Love
GBNF 	Gone But Not Forgotten
GBP 	Great British Pounds (Sterling)
GBTM 	Get Back To Me
GBTW 	Get Back To Work
GBU 	God Bless You
GBWY 	God Be With You
GBY 	God Bless You
GC 	Good Contition
GCF 	Good Clean Fun
GCMG 	God Calls Me God
GCSE 	General Certificate of Secondary Education (UK)
GCWOK 	Gay Couple Without Kids
GD 	Gangsta Disciple
GDFR 	Going Down For Real
GDI 	God Damn It
GDP 	Gross Domestic Product
GE 	Good Evening
GED 	General Educational Development
GFA 	Grenade Free America
GFAK 	Go Fly A Kite
TBR 	To Be Real
TBS 	Tablespoon To Be Specified
TBSS 	Too Bad, So Sad
TBT 	Truth Be Told
TBTF 	Too Big To Fail
TBTG 	Thanks Be To God
TBTH 	To Be Totally Honest
TBTP 	That's Beside The Point
TBU 	To Be Updated
TBYS 	Think Before You Speak
TC 	Take Care
TCB 	Taking Care of  Business
TCBY 	The Country's Best Yogurt
TCCIC 	Take Care ‘Cause I Care
TCFC 	Too Close For Comfort
TCFN 	Take Care For Now
TCFS 	Too Cool For School
TCG 	Trading Card Game
TCGB 	Take Care, God Bless
TCK 	Third Culture Kid
TCL 	Tool Command Language
TCOB 	Taking Care of Buisness
TCOY 	Take Care Of Yourself
TCP 	Transmission Control Protocol
TCP/IP 	Transmission Control Protocol/Internet Protocol
TCTC 	To Close To Call
TD 	Touchdown
TDDUP 	Til Death Do Us Part
TDDWP 	Til Death Do We Part
TDF 	To Die For
TDG 	Too Damn Good Three Days Grace (band)
TDH 	Tall, Dark, and Handsome
TDI 	Turbo Direct Injection Turbo Diesel Injection
TDL 	To Do List
TDM 	Team DeathMatch
GFC 	Global Financial Crisis
GFETE 	Grinning From Ear To Ear
GFF 	Grenade Free Foundation
GFI 	Go For It
GFN 	Gone For Now
GFP 	Good For Pics
GFTW 	Go For The Win
GFU 	Good For You
GFWL 	Games For Windows Live
GFY 	Good For You
GG 	Good Game
GGA 	Good Game All
GGBB 	Good Game Bye Bye
GGG 	Good, Giving, and Game (in bed)
GGN 	Gotta Go Now
GGNORE 	Good Game No Rematch
GGOH 	Gotta Get Outta Here
GH 	Guitar Hero
GHB 	Gamma Hydroxybutyrate (drug)
GN 	Good Night
GND 	Girl Next Door
GNE 	Good Night and Everything
GNFB 	Good Night Facebook
GNSD 	Good Night, Sweet Dreams
GOAT 	Greatest Of All Time
GOMER 	Get Out of My Emergency Room, unwelcome patient
GOMF 	Get Outta My Face
GOML 	Get On My Level
GOOMF 	Get Out Of My Face
GOOML 	Get Out Of My Life
GOP 	Grand Old Party
GP 	General Principle
GPA 	Grade-Point Average
GPC 	Generic Pack of Cigarettes Get/Post/Cookie (web pages)
GPL 	General Public License
GPOY 	Gratuitous Picture Of Yourself
GPOYW 	Gratuitous Picture Of Yourself Wednesday
GPRS 	General Packet Radio Services
GPS 	Global Positioning System
GPU 	Graphics Processing Unit
GR 	Gotta Run
GSD 	Getting Stuff Done
GSM 	Global System for Mobile communications
GSOH 	Good Sense Of Humor
GSR 	Gun Shot Residue
SAE 	Self Addressed Envelope
SAFM 	Stay Away From Me
SAHD 	Stay At Home Dad
SAHM 	Stay At Home Mom
SAHW 	Stay At Home Wife
SALTS 	Smiled A Little Then Stopped
SAM 	Stop Annoying Me
SAP 	Sad And Pathetic Fool
SASE 	Self-Addressed, Stamped Envelope
SAT 	Scholastic Assessment Test
SATA 	Serial Advanced Technology Attachment
SATC 	Sex And The City
SATS 	Standard Attainment Tests
SBD 	Silent But Deadly
GSTQ 	God Save The Queen
GSW 	Gun Shot Wound
GTB 	Go To Bed
GTW 	Got To Work
GU 	Grow Up
GUTI 	Get Used To It
GW 	Good Work
GWAS 	Game Was A Success
GWC 	Guy With Camera
GWG 	Girl With Glasses
GWI 	Get With It
GWK 	Game Winning Kill
GWP 	Gift With Purchase
GWR 	Guinness World Records
GWS 	Get Well Soon
GWTF 	Go With The Flow
GWTP 	Get With The Program
GYALDEM 	Group of girls
GYC 	Get Your Coat
GYFS 	Get Your Facts Straight
GYO 	Get Your Own
GYT 	Get Yourself Tested
HAGD 	Have A Good Day
HAGE 	Have A Good Evening
HAGL 	Have A Good Life
HAGN 	Have A Good Night
HAGO 	Have A Good One
HAGS 	Have A Great Summer
HAGT 	Have A Great Time
HAISTK 	How Am I Supposed To Know?
HAND 	Have A Nice Day
HAWT 	Hot Having A Wonderful Time
HAY 	How Are You
HAYD 	How Are You Doing?
HDYK 	How Do/Did You Know?
HE 	Happy Ending High Explosives
HEA 	Happily Ever After
HENRY 	High Earner, Not Rich Yet
HF 	Have Fun
HFFA 	Hot From Far Away
HFGL 	Have Fun, Good Luck
HFY 	Here For You Happy for You
HG 	Holy Grail
HGH 	Haters Gonna Hate
HGI 	How Goes It?
HGL 	Happy Go Lucky
HGTV 	Home and Garden Television
HGV 	Heavy Goods Vehicle
HH 	Holding Hands
HHIS 	Hanging Head In Shame
KH 	Kingdom Hearts ( )
KHYF 	Know How You Feel
KIA 	Know It All
KICKS 	Shoes Thrills
KIG 	Keep It Gangsta
KIM 	Keep It Moving
KIO 	Knock it off
KIP 	Sleep Bed
KIR 	Keepin' It Real
IDK 	I Don't Know
IDKE 	I Don't Know Either
IDKW 	I Don't Know Why
IDKWTD 	I Don't Know What To Do
IDKWYM 	I Don't Know What You Mean
IDKY 	I Don't Know Why
KM 	Keep Mum
KMFC 	Keeping My Fingers Crossed
KML 	Killing Myself Laughing
KMN 	Kill Me Now
KMP 	Keep Me Posted
KMT 	Kiss My Teeth
KMU 	Keep Me Updated
HHOJ 	Ha-Ha, Only Joking
HHOK 	Ha-Ha, Only Kidding
HHVF 	Ha-Ha, Very Funny
HHWW 	Holding Hands While Walking
HIG 	How's It Going?
HIIK 	Hell If I Know
HIMYM 	How I Met Your Mother (TV show)
HIV 	Human Immunodeficiency Virus
HIWTH 	Hate It When That Happens
HJNTIY 	He's Just Not That Into You
HK 	Hong Kong Hostile Kids
HL 	Half Life (game)
HLAS 	Hook, Line And Sinker
HMB 	Hit Me Back (reply)
HMI 	Human Machine Interface
HMIHY 	How May I Help You?
HML 	Hate My Life
HMP 	Help Me, Please
HMS 	Her Majesty's Ship (UK)
HST 	High Speed Train
HSV2 	Herpes Simplex Virus 2
HT 	Hat Tip (Thanks) Home Time Handheld Transceiver
HTBT 	Had To Be There
HTC 	Hit The Cell
HTE 	Hard To Explain
HTG 	Hard To Get
HTH 	Hope That Helps How The Hell
HTHFYS 	Hope To Hear From You Soon
HTM 	Hand To Mouth
HTML 	Hypertext Markup Language
HTSYS 	Hope To See You Soon
HTTP 	Hyper-Text Transfer Protocol
HTTPS 	Hyper-Text Transfer Protocol Secure
HTTR 	Hail To The Redskins
HU 	Hollywood Undead (Band)
HUA 	Heard Understood Acknowledged
HVAC 	Heating, Ventilating, Air Conditioning
HVD 	Happy Valentine's Day
HWB 	Hottie With Body
HWGA 	Here We Go Again
HWP 	Height Weight Proportional
HWSNBN 	He Who Shall Not Be Named
HWU 	Hey, What's Up?
HWYD 	How Was Your Day?
HYB 	How You Been?
HYD 	How Ya Doing?
HYFB 	Hope You Feel Better
IDL 	I Don't Like …
IDLI 	I Don't Like It
KIRF 	Keeping It Real Fake
KIS 	Keep It Simple
KISA 	Knight In Shining Armour
KISS 	Keep It Simple, Stupid
KIT 	Keep In Touch
KIU 	Keep It Up
KIV 	Keep In View
HYG 	Here You Go
HYH 	Have You Heard Hold Your Horses
HYIP 	High Yield Investment Program
HYP 	Harvard, Yale, Princeton
HYS 	Have Your Say
HYU 	Hit You Up
IA 	I Agree
IAB 	I Am Bored
IABW 	In A Bad Way
